product_id,product_name,product_type,destination_country,destination_city,trip_days,base_price_twd,is_active
P00288,羅馬1日票券,票券,義大利,羅馬,1,12000,Y
P00289,首爾1日票券,票券,韓國,首爾,1,103000,Y
P00290,巴黎6日團體旅遊,團體旅遊,法國,巴黎,6,121000,Y
P00291,曼谷8日自由行,自由行,泰國,曼谷,8,30000,Y
P00292,首爾5日票券,票券,韓國,首爾,5,157000,Y
P00293,澎湖1日機票,機票,台灣,澎湖,1,65000,Y
P00294,大阪8日自由行,自由行,日本,大阪,8,151000,Y
P00295,花蓮5日票券,票券,台灣,花蓮,5,52000,Y
P00296,沖繩8日票券,票券,日本,沖繩,8,7000,Y
P00297,澎湖7日訂房,訂房,台灣,澎湖,7,120000,Y
P00298,峴港11日團體旅遊,團體旅遊,越南,峴港,11,110000,Y
P00299,洛杉磯9日訂房,訂房,美國,洛杉磯,9,24000,Y
P00300,羅馬2日自由行,自由行,義大利,羅馬,2,94000,Y
